kingdom	phylum	order	family	genus	species	sci.name
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	punctatum	Pisidium punctatum
Animalia	Mollusca	NA	Poterioceratidae	Poterioceras	NA	Poterioceras NA
Animalia	Mollusca	Architaenioglossa	Viviparidae	Viviparus	NA	Viviparus NA
Animalia	Mollusca	NA	Oriostomatidae	Oriostoma	huntingtonensis	Oriostoma huntingtonensis
Animalia	Mollusca	NA	Lymnaeidae	Fossaria	humilis	Fossaria humilis
Animalia	Mollusca	Architaenioglossa	Viviparidae	Lioplax	subcarinata	Lioplax subcarinata
Animalia	Mollusca	Ostreida	Pterineidae	Leiopteria	NA	Leiopteria NA
Animalia	Mollusca	Stylommatophora	Polygyridae	Polygyra	multilineata	Polygyra multilineata
Animalia	Mollusca	NA	NA	Tremanotus	chicagoensis	Tremanotus chicagoensis
Animalia	Mollusca	Pleurotomariida	Eotomariidae	Pleurotomaria	subconica	Pleurotomaria subconica
Animalia	Mollusca	Unionida	Unionidae	Leaunio	lienosus	Leaunio lienosus
Animalia	Mollusca	NA	Planorbidae	Planorbidae	NA	Planorbidae NA
Animalia	Mollusca	Pleurotomariida	Murchisoniidae	Hormotoma	gracilis	Hormotoma gracilis
Animalia	Mollusca	Myalinida	Myalinidae	Aviculopecten	terminalis	Aviculopecten terminalis
Animalia	Mollusca	NA	Pleuroceridae	Leptoxis	umbilicata	Leptoxis umbilicata
Animalia	Mollusca	NA	Planorbidae	Helisoma	anceps	Helisoma anceps
Animalia	Mollusca	NA	Cycloconchidae	Paracyclas	NA	Paracyclas NA
Animalia	Mollusca	Unionida	Unionidae	Pleurobema	plenum	Pleurobema plenum
Animalia	Mollusca	NA	Planorbidae	Planorbis	NA	Planorbis NA
Animalia	Mollusca	NA	Lituitidae	Lituites	NA	Lituites NA
Animalia	Mollusca	Stylommatophora	Succineidae	Oxyloma	NA	Oxyloma NA
Animalia	Mollusca	NA	Lophospiridae	Murchisonia	ventricosa	Murchisonia ventricosa
Animalia	Mollusca	Architaenioglossa	Viviparidae	Ambloxis	NA	Ambloxis NA
Animalia	Mollusca	NA	Lophospiridae	Murchisonia	serrulata	Murchisonia serrulata
Animalia	Mollusca	NA	Poterioceratidae	Gomphoceras	wabashensis	Gomphoceras wabashensis
Animalia	Mollusca	NA	Platyceratidae	Platyceras	indianense	Platyceras indianense
Animalia	Mollusca	NA	Platyceratidae	Platyceras	conicum	Platyceras conicum
Animalia	Mollusca	Stylommatophora	Vertiginidae	Vertigo	ovata	Vertigo ovata
Animalia	Mollusca	Unionida	Unionidae	Reginaia	ebenus	Reginaia ebenus
Animalia	Mollusca	Stylommatophora	Polygyridae	Inflectarius	inflectus	Inflectarius inflectus
Animalia	Mollusca	Stylommatophora	Polygyridae	Polygyridae	NA	Polygyridae NA
Animalia	Mollusca	NA	Bucaniidae	Conradella	triangularis	Conradella triangularis
Animalia	Mollusca	Myalinida	Myalinidae	Aviculopecten	NA	Aviculopecten NA
Animalia	Mollusca	NA	Pleuroceridae	Pleurocera	alveare	Pleurocera alveare
Animalia	Mollusca	NA	Bucaniidae	Bellerophon	wisconsinensis	Bellerophon wisconsinensis
Animalia	Mollusca	NA	Trochonematidae	Trochonema	umbilicatum	Trochonema umbilicatum
Animalia	Mollusca	NA	Bucaniidae	Salpingostoma	NA	Salpingostoma NA
Animalia	Mollusca	Stylommatophora	Gastrodontidae	Zonitoides	limatulus	Zonitoides limatulus
Animalia	Mollusca	NA	Lyrodesmatidae	Megalomus	NA	Megalomus NA
Animalia	Mollusca	Stylommatophora	Hygromiidae	Petasina	monodon	Petasina monodon
Animalia	Mollusca	NA	Platyceratidae	Platyceras	NA	Platyceras NA
Animalia	Mollusca	Pleurotomariida	Murchisoniidae	Murchisonia	laphami	Murchisonia laphami
Animalia	Mollusca	Myida	Xylophagidae	Dialysis	elongata	Dialysis elongata
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	variabile	Pisidium variabile
Animalia	Mollusca	NA	Lophospiridae	Lophospira	helicteres	Lophospira helicteres
Animalia	Mollusca	Stylommatophora	Polygyridae	Polygyra	stenotrema	Polygyra stenotrema
Animalia	Mollusca	Pectinida	Pterinopectinidae	Pterinopecten	hermes	Pterinopecten hermes
Animalia	Mollusca	NA	Pleuroceridae	Goniobasis	livescens	Goniobasis livescens
Animalia	Mollusca	NA	Planorbidae	Helisoma	NA	Helisoma NA
Animalia	Mollusca	NA	Pleuroceridae	Elimia	costifera	Elimia costifera
Animalia	Mollusca	Stylommatophora	Spiraxidae	Physella	vinosa	Physella vinosa
Animalia	Mollusca	NA	Poterioceratidae	Gomphoceras	projectum	Gomphoceras projectum
Animalia	Mollusca	Stylommatophora	Pyramidulidae	Pyramidula	alternata	Pyramidula alternata
Animalia	Mollusca	Unionida	Unionidae	Ellipsaria	lineolata	Ellipsaria lineolata
Animalia	Mollusca	Architaenioglossa	Viviparidae	Viviparus	subpurpureus	Viviparus subpurpureus
Animalia	Mollusca	Littorinimorpha	Pomatiopsidae	Pomatiopsis	lapidaria	Pomatiopsis lapidaria
Animalia	Mollusca	Unionida	Unionidae	Pleurobema	cordatum	Pleurobema cordatum
Animalia	Mollusca	Pleurotomariida	Eotomariidae	Mourlonia	NA	Mourlonia NA
Animalia	Mollusca	NA	Hemiphragmoceratidae	Hemiphragmoceratidae	NA	Hemiphragmoceratidae NA
Animalia	Mollusca	NA	Oriostomatidae	Pleurotomaria	hoyi	Pleurotomaria hoyi
Animalia	Mollusca	NA	Ophiletidae	Ecculiomphalus	undulatus	Ecculiomphalus undulatus
Animalia	Mollusca	Venerida	Sphaeriidae	Sphaerium	rhomboideum	Sphaerium rhomboideum
Animalia	Mollusca	Pleurotomariida	Phanerotrematidae	Pleurotomaria	occidens	Pleurotomaria occidens
Animalia	Mollusca	Stylommatophora	Discidae	Discus	perspectivus	Discus perspectivus
Animalia	Mollusca	NA	Holopeidae	Raphistomina	modesta	Raphistomina modesta
Animalia	Mollusca	Ostreida	Pterineidae	Leptodesma	rogersi	Leptodesma rogersi
Animalia	Mollusca	Stylommatophora	Valloniidae	Vallonia	excentrica	Vallonia excentrica
Animalia	Mollusca	Venerida	Sphaeriidae	Sphaerium	occidentale	Sphaerium occidentale
Animalia	Mollusca	NA	Oriostomatidae	Trochilites	globosus	Trochilites globosus
Animalia	Mollusca	Unionida	Unionidae	Plethobasus	cicatricosus	Plethobasus cicatricosus
Animalia	Mollusca	NA	Lesueurillidae	Eccyliopterus	beloitensis	Eccyliopterus beloitensis
Animalia	Mollusca	NA	Platyceratidae	Platyceras	argo	Platyceras argo
Animalia	Mollusca	Stylommatophora	Discidae	Discus	whitneyi	Discus whitneyi
Animalia	Mollusca	Myalinida	Lunulacardiidae	Lunulacardium	NA	Lunulacardium NA
Animalia	Mollusca	NA	Lymnaeidae	Stagnicola	exilis	Stagnicola exilis
Animalia	Mollusca	NA	Hemiphragmoceratidae	Hexameroceras	delphicolum	Hexameroceras delphicolum
Animalia	Mollusca	Architaenioglossa	Viviparidae	Campeloma	crassula	Campeloma crassula
Animalia	Mollusca	NA	Platyceratidae	Acroculia	erectum	Acroculia erectum
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	ventricosum	Pisidium ventricosum
Animalia	Mollusca	Unionida	Unionidae	Elliptio	crassidens	Elliptio crassidens
